,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,100,PF,1619220110,68,-23.1203,-134.9692,78.75,17.11
1,hilo,40,US,1619219978,54,19.7297,-155.09,82.4,12.66
2,cherskiy,100,RU,1619220136,93,68.75,161.3,23.49,5.1
3,morondava,0,MG,1619220704,78,-20.2833,44.2833,74.98,5.84
4,saskylakh,100,RU,1619220040,97,71.9167,114.0833,33.69,20.11
5,tokur,29,RU,1619220704,65,53.1333,132.9,28.31,11.61
6,richards bay,90,US,1619220704,69,46.8361,-95.9123,36.0,18.41
7,upernavik,100,GL,1619220705,85,72.7868,-56.1549,28.24,3.49
8,komsomolskiy,41,UZ,1619220705,50,40.4272,71.7189,53.6,6.91
9,grand river south east,20,US,1619220706,9,38.8755,-109.5012,66.2,10.36
10,fortuna,1,US,1619220542,82,40.5982,-124.1573,57.99,18.41
11,zemio,57,CF,1619220706,98,5.0314,25.1361,68.32,3.85
12,camrose,89,CA,1619220706,19,53.0168,-112.8353,39.2,9.22
13,tuktoyaktuk,75,CA,1619220123,67,69.4541,-133.0374,17.6,11.5
14,padilla,75,CO,1619220707,61,3.2204,-76.3139,80.6,14.97
15,atuona,29,PF,1619220044,79,-9.8,-139.0333,80.29,22.7
16,kismayo,100,SO,1619220707,79,-0.3582,42.5454,80.8,8.43
17,lubao,75,PH,1619220707,83,14.9167,120.55,77.0,2.3
18,new norfolk,20,LR,1619220708,94,6.6518,-10.5932,78.8,3.33
19,katsuura,40,JP,1619220119,55,35.1333,140.3,59.0,4.61
20,jamestown,1,US,1619220148,43,42.097,-79.2353,52.0,12.66
21,yar-sale,100,RU,1619220210,99,66.8333,70.8333,33.82,9.66
22,ushuaia,75,AR,1619219984,93,-54.8,-68.3,41.0,5.75
23,akdepe,0,TM,1619220709,41,42.0551,59.3788,64.4,9.22
24,shache,19,CN,1619220429,14,38.4167,77.2406,49.26,3.06
25,souillac,40,MU,1619220087,78,-20.5167,57.5167,78.8,9.22
26,albany,20,US,1619219853,33,42.6001,-73.9662,55.4,18.41
27,beloha,16,MG,1619220403,76,-25.1667,45.05,69.89,10.29
28,nikolskoye,40,RU,1619220191,86,59.7035,30.7861,39.0,4.47
29,barrow,1,US,1619220124,74,71.2906,-156.7887,26.6,6.91
30,outjo,81,NA,1619220710,39,-20.1167,16.15,66.38,5.21
31,mataura,72,NZ,1619220131,89,-46.1927,168.8643,52.0,1.01
32,punta arenas,100,PH,1619220710,73,8.9897,125.34,83.07,1.45
33,bethel,1,US,1619220069,17,41.3712,-73.414,62.6,14.97
34,cabo san lucas,40,BR,1619220711,69,-8.2833,-35.0333,80.6,8.05
35,collie,95,AU,1619220711,54,-33.3667,116.15,62.87,2.98
36,busselton,93,AU,1619220711,77,-33.65,115.3333,60.01,3.0
37,tuatapere,99,NZ,1619220249,89,-46.1333,167.6833,52.0,1.01
38,hofn,99,IS,1619220145,78,64.2539,-15.2082,44.28,4.36
39,severo-kurilsk,96,RU,1619220315,90,50.6789,156.125,36.63,7.87
40,alofi,12,NU,1619220322,79,-19.0595,-169.9187,84.2,11.5
41,chokurdakh,58,RU,1619220045,86,70.6333,147.9167,3.4,1.21
42,cidreira,2,BR,1619220149,78,-30.1811,-50.2056,70.57,17.76
43,labuhan,16,ID,1619220365,84,-6.8844,112.2051,75.51,5.73
44,hasaki,20,JP,1619220102,67,35.7333,140.8333,59.0,6.91
45,dingle,100,PH,1619220161,76,10.9995,122.6711,80.08,4.21
46,kieta,97,PG,1619220240,73,-6.2167,155.6333,82.15,2.57
47,zeulenroda,32,DE,1619220713,73,50.65,11.9833,35.01,2.06
48,luica,72,RO,1619220713,85,44.2333,26.5833,46.99,3.0
49,east london,0,IS,1619220714,100,65.0,-15.0,32.0,5.75
50,pemba,40,MZ,1619220125,83,-12.974,40.5178,78.01,10.36
51,mar del plata,75,ES,1619220714,59,43.4002,-4.0094,62.6,3.44
52,pergamino,100,AR,1619220715,95,-33.89,-60.5736,62.01,4.0
53,kavieng,100,PG,1619220139,79,-2.5744,150.7967,80.15,4.88
54,newton,44,US,1619220610,30,42.337,-71.2092,57.2,13.8
55,brigantine,1,US,1619220289,31,39.4101,-74.3646,59.0,11.5
56,hambantota,47,LK,1619220717,84,6.1241,81.1185,78.39,5.82
57,ghanzi,0,BW,1619220717,32,-21.5667,21.7833,61.27,5.08
58,taoudenni,0,ML,1619220376,6,22.6783,-3.9836,89.47,9.57
59,inhambane,77,MZ,1619220385,88,-23.865,35.3833,67.51,3.11
60,port elizabeth,18,CD,1619220717,80,-7.0349,29.7638,71.46,4.81
61,shihezi,97,CN,1619220718,66,44.3,86.0333,35.28,8.21
62,sheltozero,100,RU,1619220718,95,61.3667,35.3667,34.18,5.35
63,hokitika,7,NZ,1619220718,77,-42.7167,170.9667,58.28,3.38
64,nova olimpia,66,BR,1619220719,95,-5.5279,-46.7049,72.75,2.26
65,ilulissat,100,GL,1619220084,69,69.2167,-51.1,33.8,6.91
66,onega,100,RU,1619220719,95,63.9061,38.1404,41.0,4.54
67,hermanus,86,ZA,1619220719,88,-34.4187,19.2345,55.99,5.95
68,misratah,50,LY,1619220720,87,32.3754,15.0925,62.06,29.21
69,naze,75,JP,1619220242,88,28.3667,129.4833,68.0,20.71
70,grand centre,20,US,1619220706,9,38.8755,-109.5012,66.2,10.36
71,karasjok,90,NO,1619220720,69,69.4719,25.5112,33.8,17.27
72,makow mazowiecki,34,PL,1619220720,100,51.947,20.0521,37.99,8.1
73,bambous virieux,40,MU,1619220721,78,-20.2567,57.4061,78.8,9.22
74,nanortalik,14,GL,1619220267,87,60.1432,-45.2371,36.3,3.62
75,catuday,23,PH,1619220721,70,16.2923,119.8062,79.83,10.38
76,yuzhnyy,0,RU,1619220722,54,53.2542,83.6936,28.4,6.71
77,sitka,20,US,1619220365,20,57.0531,-135.33,60.8,9.22
78,yulara,3,AU,1619220134,51,-25.2406,130.9889,59.0,9.22
79,mazagao,0,BR,1619220722,83,-0.115,-51.2894,82.4,6.91
80,conde,20,BR,1619220238,83,-7.2597,-34.9075,80.6,6.91
81,vaini,20,TO,1619220723,79,-21.2,-175.2,84.2,5.75
82,norman wells,90,US,1619220496,94,35.2226,-97.4395,61.0,11.5
83,ribeira grande,75,ES,1619220723,94,42.7461,-8.4439,57.99,4.61
84,pitimbu,20,BR,1619220724,83,-7.4706,-34.8086,80.6,6.91
85,fairbanks,1,US,1619220186,26,64.8378,-147.7164,57.2,9.22
86,pevek,45,RU,1619220218,87,69.7008,170.3133,15.24,1.63
87,bluff,88,NZ,1619220700,88,-46.6,168.3333,53.01,15.75
88,vestmannaeyjar,100,IS,1619220207,87,63.4427,-20.2734,46.51,19.86
89,narsaq,1,GL,1619220724,60,60.9167,-46.05,41.0,5.75
90,praia,20,CV,1619220725,73,14.9215,-23.5087,69.8,16.11
91,bokoro,24,TD,1619220725,15,12.3807,17.0568,89.87,5.66
92,sarangani,79,PH,1619220725,74,5.4033,125.4636,83.79,14.12
93,kaniama,96,CD,1619220726,92,-7.5667,24.1833,66.45,2.26
94,kavaratti,15,IN,1619220726,73,10.5669,72.642,83.44,7.18
95,puerto ayora,0,ES,1619220726,72,36.5939,-6.233,63.0,19.57
96,klaksvik,82,FO,1619220727,100,62.2266,-6.589,42.8,6.91
97,kirakira,71,SB,1619220727,71,-10.4544,161.9205,84.52,5.28
98,aksehir,6,TR,1619220728,64,38.3575,31.4164,52.18,4.0
99,geraldton,0,AU,1619220144,77,-28.7667,114.6,59.0,10.36
100,qaanaaq,100,GL,1619220166,84,77.484,-69.3632,19.83,4.74
101,saint-philippe,20,RE,1619220177,78,-21.3585,55.7679,77.0,13.8
102,hithadhoo,22,MV,1619220728,73,-0.6,73.0833,82.11,7.83
103,haines junction,1,US,1619220729,23,59.2286,-135.4441,60.8,6.91
104,isangel,75,VU,1619220258,74,-19.55,169.2667,86.0,10.78
105,khatanga,100,RU,1619220138,97,71.9667,102.5,32.85,20.4
106,kodiak,90,US,1619220163,81,57.79,-152.4072,41.0,6.91
107,pecos,1,US,1619220567,6,31.4229,-103.4932,80.6,29.93
108,port alfred,18,CD,1619220717,80,-7.0349,29.7638,71.46,4.81
109,nantucket,1,US,1619220729,71,41.2835,-70.0995,46.4,25.32
110,avarua,40,CK,1619220191,74,-21.2078,-159.775,82.4,19.57
111,porto santo,75,PT,1619220726,94,41.1496,-8.611,59.0,10.36
112,nandurbar,100,IN,1619220730,51,21.3667,74.25,78.94,11.16
113,camacha,40,PT,1619220730,82,33.0833,-16.3333,62.6,14.97
114,monte carmelo,0,FR,1619220731,81,42.4687,9.3916,60.01,4.61
115,athabasca,100,CA,1619220731,24,54.7169,-113.2854,39.2,13.8
116,xingcheng,93,CN,1619220731,79,40.6167,120.7167,54.64,10.45
117,abu samrah,43,IN,1619220732,51,24.6,72.7,67.66,2.77
118,bima,2,ID,1619220732,81,-8.4667,118.7167,79.7,2.98
119,maningrida,58,AU,1619220732,47,-12.0667,134.2667,80.94,15.41
120,nata,20,PA,1619220733,65,8.3333,-80.5167,84.2,10.36
121,bayir,0,TR,1619220733,76,37.2687,28.2167,51.8,3.44
122,zeya,36,RU,1619220390,39,53.75,127.2667,36.93,13.47
123,kutum,73,SD,1619220734,18,14.2,24.6667,77.76,8.34
124,westport,14,US,1619220290,29,41.1415,-73.3579,60.01,10.42
125,lashio,2,MM,1619220734,49,22.9333,97.75,71.42,0.58
126,butaritari,92,KI,1619220490,77,3.0707,172.7902,82.15,9.01
127,atar,0,MR,1619220327,12,20.5169,-13.0499,80.76,4.81
128,mehamn,68,NO,1619220150,70,71.0357,27.8492,32.72,13.91
129,hobyo,65,SO,1619220273,67,5.3505,48.5268,82.96,9.48
130,bilma,40,NE,1619220223,10,18.6853,12.9164,88.03,9.55
131,torbay,20,CA,1619220327,87,47.6666,-52.7314,37.99,20.71
132,khromtau,100,KZ,1619220423,50,50.2503,58.4347,45.95,19.26
133,portland,75,US,1619220453,36,45.5234,-122.6762,63.0,5.75
134,robinson,90,US,1619220735,94,31.4677,-97.1147,71.6,11.5
135,bubaque,3,GW,1619220736,71,11.2833,-15.8333,77.85,17.29
136,hiranagar,3,IN,1619220736,48,32.45,75.2667,61.84,4.18
137,carnarvon,0,AU,1619220067,67,-24.8667,113.6333,62.6,9.22
138,arraial do cabo,0,BR,1619220737,60,-22.8362,-46.646,69.01,5.75
139,astoria,90,US,1619220737,76,46.1879,-123.8313,53.01,11.5
140,illintsi,43,UA,1619220737,80,49.1048,29.2177,36.16,7.99
141,hamilton,75,US,1619219884,47,39.1834,-84.5333,57.99,4.61
142,deputatskiy,24,RU,1619220310,85,69.3,139.9,7.77,2.3
143,marzuq,7,YE,1619220352,64,14.4,46.4667,68.47,6.22
144,petropavlovsk-kamchatskiy,68,RU,1619220409,70,53.0452,158.6483,42.8,2.24
145,cape town,0,CL,1619220738,82,-36.413,-71.9028,59.0,2.3
146,bredasdorp,92,ZA,1619220738,93,-34.5322,20.0403,50.0,4.61
147,dejen,88,ET,1619220739,69,10.1667,38.1333,57.61,2.26
148,castro,12,BR,1619220739,72,-24.7911,-50.0119,55.49,3.65
149,itarema,51,BR,1619220298,80,-2.9248,-39.9167,79.65,11.52
150,zvishavane,2,ZW,1619220739,59,-20.3267,30.0665,57.88,1.99
151,kahului,20,US,1619220158,48,20.8947,-156.47,84.2,25.32
152,luderitz,44,NA,1619220148,77,-26.6481,15.1594,63.81,8.61
153,cacoal,16,BR,1619220541,92,-11.4386,-61.4472,74.82,3.62
154,pisco,0,PE,1619220166,82,-13.7,-76.2167,66.99,11.5
155,mys shmidta,81,RU,1619220740,89,62.0589,48.6201,41.07,5.26
156,yellowknife,75,CA,1619220741,57,62.456,-114.3525,17.01,10.36
157,shimoda,75,JP,1619220741,63,34.6667,138.95,60.8,13.8
158,airai,16,TL,1619220185,80,-8.9266,125.4092,62.78,2.53
159,shubarshi,100,KZ,1619220741,63,48.5872,57.1869,50.58,11.79
160,jalu,0,LY,1619220249,14,29.0331,21.5482,76.39,13.58
161,sulat,100,PH,1619220742,75,11.8103,125.4544,82.29,5.55
162,hobart,40,AU,1619220517,71,-42.8794,147.3294,54.0,12.66
163,warragul,100,AU,1619220742,71,-38.1667,145.9333,57.99,8.01
164,talnakh,100,RU,1619220174,97,69.4865,88.3972,31.51,10.71
165,soyo,94,AO,1619220743,88,-6.1349,12.3689,78.13,1.23
166,lagoa,20,PT,1619220171,78,39.05,-27.9833,57.74,32.3
167,bagdarin,99,RU,1619220743,41,54.4333,113.6,31.3,3.02
168,saint-francois,0,FR,1619220517,61,46.4154,3.9054,44.6,1.14
169,anadyr,0,RU,1619220324,86,64.75,177.4833,17.6,6.71
170,huarmey,8,PE,1619220106,82,-10.0681,-78.1522,69.24,9.37
171,akureyri,0,IS,1619220744,81,65.6835,-18.0878,42.8,1.14
172,theog,11,IN,1619220744,73,31.1167,77.35,39.97,6.22
173,vieste,40,IT,1619220744,76,41.8825,16.175,55.4,6.91
174,madimba,75,TZ,1619220745,94,-10.4,40.3333,75.2,17.27
175,tasiilaq,75,GL,1619220167,52,65.6145,-37.6368,37.4,16.11
176,lebu,37,CL,1619220745,92,-37.6167,-73.65,53.01,6.2
177,lavrentiya,22,RU,1619220156,81,65.5833,-171.0,33.28,2.86
178,kattivakkam,20,IN,1619220746,83,13.2167,80.3167,82.4,3.44
179,bilibino,99,RU,1619220227,82,68.0546,166.4372,22.12,3.53
180,manitouwadge,99,CA,1619220746,75,49.1215,-85.8403,42.8,4.61
181,yumen,40,CN,1619220746,76,40.2833,97.2,39.83,1.36
182,gubkin,99,RU,1619220747,92,51.2817,37.5458,45.55,8.81
183,esperance,97,AU,1619220099,88,-33.8667,121.9,55.4,9.22
184,thompson,75,CA,1619220163,43,55.7435,-97.8558,26.6,9.22
185,dikson,100,RU,1619220161,97,73.5069,80.5464,32.13,17.36
186,mount isa,100,GB,1619220747,64,53.6597,-1.8537,46.99,2.39
187,clyde river,1,US,1619220748,38,41.3042,-82.9752,57.99,10.36
188,canutama,62,BR,1619220748,95,-6.5339,-64.3831,75.38,3.09
189,sampit,27,ID,1619220748,80,-2.5333,112.95,78.78,0.98
190,cayenne,90,GF,1619220604,94,4.9333,-52.3333,78.01,1.14
191,alice springs,1,US,1619220749,66,27.7523,-98.0697,89.6,21.85
192,wakuya,0,JP,1619220749,50,38.5333,141.1333,53.6,4.61
193,korgen,75,NO,1619220750,69,66.0771,13.8153,28.4,11.5
194,saint-augustin,100,CA,1619220359,96,51.226,-58.6502,32.22,14.7
195,araouane,0,ML,1619220750,10,18.9048,-3.5265,87.67,7.11
196,inuvik,75,CA,1619220750,48,68.3499,-133.7218,35.6,5.75
197,pangnirtung,75,CA,1619220164,86,66.1451,-65.7125,26.6,4.61
198,boa vista,100,CM,1619220751,90,4.4296,8.9742,77.23,1.79
199,port moresby,18,CD,1619220717,80,-7.0349,29.7638,71.46,4.81
200,belle fourche,75,US,1619220751,55,38.2859,-91.7204,60.8,10.36
201,maceio,0,BR,1619220121,94,-9.6658,-35.7353,75.2,3.44
202,nome,1,US,1619220218,52,64.5011,-165.4064,42.8,4.61
203,mama,100,RU,1619220752,86,58.3106,112.8986,34.99,4.03
204,ayame,100,CI,1619220752,89,5.6083,-3.1563,77.94,0.94
205,constantine,40,DZ,1619220752,87,36.365,6.6147,50.0,1.14
206,vostok,100,RU,1619220753,97,46.4856,135.8833,36.82,4.05
207,muravlenko,100,RU,1619220753,99,63.7898,74.523,34.25,11.23
208,osa,100,RU,1619220753,90,57.2829,55.4567,41.45,4.47
209,caravelas,31,BR,1619220329,83,-17.7125,-39.2481,74.84,6.04
210,kurtamysh,100,RU,1619220754,51,54.9103,64.4319,43.18,9.71
211,jardim,3,BR,1619220754,44,-21.4803,-56.1381,76.15,3.42
212,daan,100,CN,1619220754,89,33.0558,106.2958,56.93,6.2
213,ullapool,100,GB,1619220755,82,57.8987,-5.1604,43.0,1.99
214,vardo,40,NO,1619220755,80,70.3705,31.1107,30.2,10.36
215,kununurra,59,AU,1619220755,41,-15.7667,128.7333,77.0,8.05
216,smithers,40,CA,1619220405,21,54.7804,-127.1743,57.2,5.75
217,kalmunai,2,LK,1619220370,82,7.4167,81.8167,79.47,1.48
218,guerrero negro,95,MX,1619220756,28,17.6667,-100.0,84.04,2.55
219,florianopolis,75,BR,1619220756,88,-27.6146,-48.5012,73.0,3.44
220,flinders,93,AU,1619220756,68,-34.5833,150.8552,61.0,1.01
221,sorland,100,NO,1619220343,58,67.667,12.6934,36.61,22.03
222,kapaa,75,US,1619220058,61,22.0752,-159.319,80.6,14.97
223,adrar,0,MR,1619220386,11,20.5022,-10.0711,78.69,11.61
224,vega de alatorre,1,US,1619220757,11,35.2428,-102.4283,73.4,21.85
225,gerash,64,IR,1619220758,24,27.6652,54.1371,74.44,2.15
226,romitan,0,UZ,1619220758,54,39.9343,64.3814,55.4,4.36
227,avera,40,US,1619220758,32,33.194,-82.5271,68.0,5.75
228,sarab,2,IR,1619220759,61,38.6066,44.9883,55.49,0.92
229,manjeshwar,20,IN,1619220759,89,12.7194,74.8861,78.8,4.61
230,sistranda,40,NO,1619220759,86,63.7256,8.834,33.8,9.22
231,kemin,53,KG,1619220760,34,42.7846,75.6892,38.91,4.07
232,olafsvik,100,IS,1619220760,90,64.8945,-23.7142,43.7,12.33
233,leningradskiy,99,RU,1619220173,85,69.3833,178.4167,28.9,3.65
234,namatanai,100,PG,1619220414,79,-3.6667,152.4333,80.01,3.24
235,victoria,29,HK,1619220622,87,22.2855,114.1577,77.0,1.01
236,corrente,94,BR,1619220761,98,-3.7367,-43.3394,73.74,3.4
237,rawson,9,AR,1619220761,69,-43.3002,-65.1023,55.45,12.8
238,charters towers,90,US,1619220762,47,38.5736,-83.4333,57.2,3.44
239,grand gaube,20,US,1619220762,9,38.8755,-109.5012,72.0,10.36
240,barreirinhas,98,BR,1619220762,93,-2.7469,-42.8264,75.92,4.36
241,palmer,20,US,1619220763,23,42.1584,-72.3287,57.2,12.66
242,soe,8,ID,1619220763,74,-9.8607,124.284,72.36,2.95
243,chuy,14,UY,1619220203,84,-33.6971,-53.4616,66.69,13.0
244,puebloviejo,20,CO,1619220763,55,10.9938,-74.2844,89.6,19.57
245,savinka,59,RU,1619220764,87,50.0785,47.0994,46.04,2.62
246,faya,20,SA,1619220220,34,18.3851,42.4509,66.2,4.61
247,shiyan,100,CN,1619220764,92,32.6475,110.7781,54.54,10.0
248,pangody,100,RU,1619220764,99,65.85,74.4859,34.07,9.98
249,kandrian,98,PG,1619220765,84,-6.2167,149.55,79.29,4.47
250,sao joao da barra,85,IN,1619220765,28,20.5113,76.2129,77.85,6.15
251,vao,85,NC,1619220765,75,-22.6667,167.4833,75.7,13.13
252,san policarpo,87,ML,1619220766,20,13.3034,-4.8956,96.28,3.74
253,beringovskiy,99,RU,1619220155,85,63.05,179.3167,27.75,6.08
254,ust-tsilma,79,RU,1619220766,91,65.441,52.1498,37.65,4.34
255,kaita,0,JP,1619220766,72,34.3667,132.55,64.99,2.3
256,ponta do sol,40,PT,1619220767,82,38.7333,-28.2667,57.2,27.63
257,viedma,39,AR,1619220768,58,-40.8135,-62.9967,62.2,12.1
258,hvolsvollur,100,IS,1619220768,87,63.7533,-20.2243,44.01,4.0
259,sergeyevka,100,KZ,1619220768,51,53.88,67.4158,39.27,11.16
260,grindavik,75,IS,1619220548,93,63.8424,-22.4338,44.6,14.97
261,hailar,100,CN,1619220769,20,49.2,119.7,40.03,5.5
262,hanstholm,8,DK,1619220769,71,57.1167,8.6167,39.99,14.65
263,maturin,43,VE,1619220769,67,9.75,-63.1767,79.63,10.69
264,benghazi,92,LY,1619220770,30,32.1167,20.0667,75.65,19.91
265,mahebourg,40,MU,1619220770,78,-20.4081,57.7,78.8,9.22
266,aykhal,84,RU,1619220219,83,66.0,111.5,26.53,6.53
267,aklavik,75,CA,1619220204,45,68.2191,-135.0107,39.2,3.44
268,kruisfontein,5,ZA,1619220305,91,-34.0033,24.7314,60.01,1.01
269,paamiut,1,GL,1619220771,77,61.994,-49.6678,31.98,2.42
