,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
270,lujiang,75,CN,1619220771,82,31.2581,117.2817,63.0,11.18
271,tevaitoa,95,PF,1619220515,76,-16.7833,-151.5,79.65,12.24
272,liverpool,100,GB,1619220563,54,53.4106,-2.9779,52.0,10.36
273,esmeraldas,0,BR,1619220772,53,-19.7625,-44.3139,75.2,1.14
274,tayu,9,ID,1619220772,77,-6.5397,111.0518,78.57,4.74
275,east grinstead,0,IS,1619220714,100,65.0,-15.0,32.0,5.75
276,kalabo,34,ZM,1619220581,49,-14.97,22.6814,68.47,3.71
277,tome,90,CL,1619220773,94,-36.6167,-72.95,57.2,9.22
278,teluknaga,20,ID,1619220773,78,-6.0989,106.6381,77.0,4.61
279,pacific grove,99,US,1619220773,73,38.482,-90.7415,61.0,7.4
280,visby,36,SE,1619220774,70,57.6409,18.296,39.99,14.97
281,codrington,100,AU,1619220256,84,-38.2667,141.9667,55.56,9.37
282,vila franca do campo,94,PT,1619220774,94,42.0304,-8.1588,55.0,5.17
283,tombouctou,0,ML,1619220775,11,20.0,-3.0,86.23,6.85
284,pauini,100,BR,1619220260,93,-7.7136,-66.9764,75.97,3.44
285,rockhampton,100,AU,1619220775,60,-23.3833,150.5,71.6,9.22
286,khanskaya,100,RU,1619220776,79,44.677,39.9616,50.38,3.76
287,ambon,40,ID,1619220776,94,-3.6954,128.1814,78.8,6.91
288,kingori,75,TZ,1619220776,78,-3.2833,36.9833,71.6,2.59
289,bunia,100,CD,1619220776,95,1.5667,30.25,62.56,2.64
290,costinesti,0,RO,1619220777,93,43.95,28.6333,45.0,4.61
291,bandarbeyla,94,SO,1619220179,74,9.4942,50.8122,82.71,5.57
292,bakhmach,67,UA,1619220777,87,51.1808,32.7569,36.66,8.28
293,konongo,97,GH,1619220778,96,6.6167,-1.2167,73.81,2.91
294,killarney,93,IE,1619220778,92,52.05,-9.5167,44.04,6.46
295,tiksi,99,RU,1619220779,87,71.6872,128.8694,12.63,9.1
296,muros,58,ES,1619220779,94,42.7762,-9.0603,60.01,5.01
297,kloulklubed,75,PW,1619220779,79,7.0419,134.2556,84.2,8.05
298,marsa matruh,75,MT,1619220780,88,35.8792,14.4953,59.0,13.8
299,marsh harbour,100,GB,1619220780,64,53.6512,-1.8078,50.0,2.42
300,nago,90,JP,1619220781,88,26.5881,127.9761,66.2,19.57
301,deh rawud,0,IR,1619220781,88,26.5625,53.9925,75.2,4.61
302,bassila,99,BJ,1619220781,82,9.0081,1.6654,75.65,5.35
303,asau,38,RO,1619220223,65,46.4333,26.4,36.0,3.15
304,ovalle,66,CL,1619220782,69,-30.5983,-71.2003,62.04,2.84
305,pendleton,1,US,1619220782,36,45.6721,-118.7886,64.99,9.22
306,alta floresta,90,NO,1619220783,55,69.9689,23.2717,33.8,12.66
307,vallenar,76,CL,1619220783,72,-28.5708,-70.7581,59.31,1.63
308,loandjili,90,CG,1619220783,91,-4.7561,11.8578,78.31,5.21
309,mount holly,100,GB,1619220747,64,53.6597,-1.8537,46.99,2.39
310,del rio,2,IR,1619220784,63,38.7941,45.0665,59.0,9.22
311,pyinmana,9,MM,1619220784,69,19.7333,96.2167,81.32,4.83
312,negombo,40,LK,1619220785,94,7.2083,79.8358,78.8,2.3
313,srednekolymsk,100,RU,1619220785,92,67.45,153.6833,13.75,18.57
314,prainha,88,BR,1619220785,86,-1.8,-53.48,76.23,2.75
315,provideniya,71,RU,1619220786,54,64.3833,-173.3,41.11,4.76
316,iqaluit,90,CA,1619220253,93,63.7506,-68.5145,28.4,3.44
317,biak,100,ID,1619220262,77,-0.9131,122.8766,78.17,2.73
318,talaya,100,RU,1619220786,76,61.3833,152.75,18.32,10.87
319,mitu,72,CO,1619220341,95,1.1983,-70.1733,74.91,0.69
320,imbituba,75,BR,1619220418,88,-28.24,-48.6703,69.8,3.44
321,ningxiang,100,CN,1619220787,75,37.34,111.2052,47.71,24.72
322,ushtobe,0,KZ,1619220787,39,45.2514,77.9838,32.68,13.58
323,goma,92,CD,1619220787,90,-1.6792,29.2228,61.92,2.93
324,laguna,1,US,1619220788,38,38.421,-121.4238,78.01,10.36
325,celestun,44,MX,1619220613,57,20.8667,-90.4,86.16,10.67
326,dera bugti,75,ET,1619220788,66,8.3309,39.3181,64.8,3.15
327,nyurba,100,RU,1619220788,91,63.2842,118.3319,32.49,7.29
328,longyearbyen,75,SJ,1619220789,62,78.2186,15.6401,15.8,6.91
329,vanimo,100,PG,1619220789,72,-2.6741,141.3028,83.55,3.13
330,san bernardo,87,ML,1619220789,20,13.3034,-4.8956,96.28,3.74
331,thinadhoo,11,MV,1619220417,68,0.5333,72.9333,82.24,8.84
332,namwala,2,ZM,1619220790,78,-15.7504,26.4384,59.47,4.12
333,faanui,87,PF,1619220790,75,-16.4833,-151.75,80.2,11.5
334,san cristobal,87,ML,1619220766,20,13.3034,-4.8956,96.28,3.74
335,carballo,57,ES,1619220239,85,43.213,-8.691,60.01,7.0
336,lompoc,0,US,1619220710,63,34.6391,-120.4579,59.0,13.8
337,wilson,90,US,1619220791,63,36.1501,-86.2833,59.0,5.75
338,pochutla,90,MX,1619220791,70,15.7432,-96.4661,84.2,11.5
339,zhangzhou,11,CN,1619220792,68,24.5133,117.6556,73.4,11.18
340,laukaa,47,RU,1619220792,96,58.7372,29.8453,35.24,5.48
341,charleston,1,US,1619220678,51,32.7766,-79.9309,64.4,9.22
342,brusyanskiy,100,RU,1619220792,94,53.9923,38.0937,40.28,12.48
343,ketchikan,1,US,1619220793,30,55.3422,-131.6461,57.2,9.22
344,maunabo,9,PR,1619220793,87,18.0072,-65.8993,79.0,3.0
345,vila velha,94,PT,1619220774,94,42.0304,-8.1588,55.0,5.17
346,gouyave,20,GD,1619220794,74,12.1646,-61.7296,82.4,18.41
347,saint-pierre,20,RE,1619220794,78,-21.3393,55.4781,77.0,13.8
348,winnemucca,1,US,1619220794,9,40.973,-117.7357,69.8,5.75
349,hastings,12,GB,1619220625,87,50.8552,0.5729,46.4,16.11
350,sijunjung,100,ID,1619220795,86,-0.6876,100.9537,70.83,1.86
351,batagay,81,RU,1619220795,86,67.6333,134.6333,13.5,1.97
352,gevrai,86,IN,1619220795,27,19.2667,75.75,81.84,7.36
353,umea,90,SE,1619220796,93,63.8284,20.2597,32.0,18.41
354,alberton,97,CA,1619220394,65,46.8168,-64.0654,39.2,13.8
355,anamur,0,TR,1619220796,72,36.0751,32.8369,59.0,4.61
356,gambela,91,ET,1619220797,79,8.25,34.5833,74.14,4.63
357,margate,36,GB,1619220196,73,51.3813,1.3862,46.0,1.99
358,tigzirt,66,DZ,1619220797,82,36.8886,4.1198,55.6,8.48
359,horodkivka,36,UA,1619220797,81,49.9068,28.9847,35.46,9.46
360,gurupi,74,BR,1619220798,74,-11.7292,-49.0686,76.55,2.95
361,wattegama,6,LK,1619220798,91,6.7989,81.4808,74.21,2.33
362,monoharpur,69,IN,1619220798,62,22.1083,88.0789,79.25,7.14
363,port lincoln,18,CD,1619220798,80,-7.0349,29.7638,71.46,4.81
364,brae,75,GB,1619220799,81,60.3964,-1.353,44.6,1.88
365,nhulunbuy,97,AU,1619220799,51,-12.2333,136.7667,84.2,17.27
366,russell,20,US,1619220799,37,32.3502,-85.1999,71.6,5.75
367,fort saint james,61,NL,1619220800,82,52.6517,6.3861,41.0,5.1
368,zhaotong,95,CN,1619220800,77,27.3167,103.7167,60.33,5.03
369,mayo,1,US,1619220800,31,38.8876,-76.5119,60.8,8.05
370,zharkent,0,KZ,1619220801,36,44.1628,80.0,34.57,6.46
371,gryfino,40,PL,1619220801,60,53.2524,14.4883,44.01,3.44
372,victor harbor,1,US,1619220801,30,42.9826,-77.4089,57.2,13.8
373,nanyamba,75,TZ,1619220802,94,-10.6833,39.8333,75.2,17.27
374,moose factory,40,US,1619220802,34,43.6558,-110.7183,48.2,13.8
375,aguimes,75,ES,1619220802,73,27.9054,-15.4461,69.8,10.36
376,tual,79,ID,1619220803,78,-5.6667,132.75,82.92,13.02
377,oktyabrskoye,34,RU,1619220803,87,43.0645,44.7417,48.0,6.71
378,kaitangata,48,NZ,1619220803,73,-46.2817,169.8464,55.0,1.99
379,macon,90,US,1619220804,58,39.8667,-88.9668,55.4,11.5
380,wawa,84,NG,1619220804,60,9.9022,4.4192,83.7,7.65
381,dangtu,90,CN,1619220804,82,31.5723,118.4928,60.8,8.95
382,bell ville,75,US,1619220804,88,31.0502,-97.4669,69.8,9.22
383,port blair,18,CD,1619220805,80,-7.0349,29.7638,71.46,4.81
384,trinidad,75,BO,1619220805,89,-14.8333,-64.9,82.4,3.44
385,kukshi,84,IN,1619220805,37,22.2,74.75,81.46,8.46
386,merrill,90,US,1619220319,38,45.1805,-89.6835,55.99,3.44
387,ilhabela,53,BR,1619220806,85,-23.7781,-45.3581,71.55,4.36
388,broome,1,US,1619220231,28,42.2506,-75.833,55.4,11.5
389,floriano,95,BR,1619220806,74,-6.7669,-43.0225,79.56,5.08
390,berlevag,81,NO,1619220371,84,70.8578,29.0864,33.03,13.8
391,brewster,1,US,1619220807,17,41.3973,-73.6171,62.6,14.97
392,bata,98,GQ,1619220807,81,1.8639,9.7658,78.1,5.86
393,coihaique,75,CL,1619220808,71,-45.5752,-72.0662,48.2,3.44
394,krasnogvardeyskiy,100,RU,1619220808,87,57.3793,62.3195,45.81,6.93
395,praia da vitoria,20,CV,1619220808,73,14.9215,-23.5087,69.8,16.11
396,lasa,0,IT,1619220809,60,46.6166,10.7002,45.0,4.61
397,obo,79,CF,1619220208,85,5.3998,26.4869,70.63,6.11
398,alberobello,75,IT,1619220809,100,40.7859,17.2372,55.0,6.91
399,roma,1,US,1619220658,33,43.2128,-75.4557,57.2,20.71
400,ancud,20,CL,1619220395,93,-41.8697,-73.8203,53.01,3.44
401,coquimbo,0,CL,1619220810,77,-29.9533,-71.3436,59.0,6.91
402,khuzhir,100,RU,1619220810,78,53.1939,107.3397,27.28,10.47
403,murdochville,100,CA,1619220810,87,48.9583,-65.5006,37.4,13.8
404,breznita-motru,0,RO,1619220811,60,44.5667,23.2167,46.99,6.91
405,corinto,100,GR,1619220811,62,37.9407,22.9573,59.0,1.99
406,hay river,95,GB,1619220811,58,52.0705,-3.1274,48.99,4.43
407,ocampo,100,MX,1619220812,50,21.65,-101.5,82.0,20.67
408,sucevita,0,RO,1619220812,76,47.7833,25.7167,44.6,8.05
409,babushkin,100,RU,1619220812,82,51.7122,105.8647,30.52,4.99
410,champua,61,IN,1619220813,50,22.0833,85.6667,77.2,4.18
411,plettenberg bay,22,DE,1619220813,80,51.2167,7.8833,37.99,3.0
412,aniva,40,RU,1619220813,81,46.7144,142.5294,37.4,15.66
413,ponazyrevo,100,RU,1619220814,76,58.3578,46.3142,45.48,6.49
414,razole,71,IN,1619220814,88,16.4833,81.8333,77.83,1.12
415,emba,100,KZ,1619220815,57,48.8264,58.1442,50.63,13.4
416,corvallis,90,US,1619220529,55,44.5646,-123.262,62.01,1.92
417,sarkand,0,KZ,1619220815,45,45.41,79.9186,24.04,6.96
418,zaysan,91,KZ,1619220815,65,47.4667,84.8667,29.8,8.72
419,zitiste,0,RS,1619220816,81,45.485,20.5497,50.0,2.3
420,nicoya,20,CR,1619220816,45,10.1483,-85.452,87.8,12.66
421,poum,95,NC,1619220244,76,-20.2333,164.0167,79.47,6.15
422,north bend,8,FR,1619220816,70,50.3333,3.6667,44.6,9.22
423,saldanha,85,ZA,1619220817,76,-33.0117,17.9442,55.4,3.44
424,tessalit,0,ML,1619220817,7,20.1986,1.0114,85.5,7.81
425,cam ranh,0,AR,1619220817,77,-38.9838,-67.8222,59.0,4.38
426,port augusta,18,CD,1619220818,80,-7.0349,29.7638,71.46,4.81
427,wau,69,SS,1619220818,56,7.7029,27.9953,79.88,5.55
428,lazaro cardenas,64,DO,1619220818,77,19.4558,-71.3261,79.0,1.01
429,touros,40,BR,1619220818,83,-5.1989,-35.4608,80.6,3.44
430,ardesen,0,TR,1619220819,93,41.1911,40.9875,51.8,2.3
431,ostrovnoy,100,RU,1619220351,97,68.0531,39.5131,32.16,21.81
432,lubango,96,AO,1619220819,61,-14.9172,13.4925,63.01,3.87
433,uvat,100,RU,1619220820,69,59.1433,68.8953,43.02,7.11
434,ixtapa,20,MX,1619220145,65,20.7,-105.2,82.4,14.97
435,tabuk,12,PH,1619220820,66,17.4189,121.4443,77.83,2.1
436,teeli,100,RU,1619220821,92,51.0333,90.2333,29.77,3.06
437,kudahuvadhoo,22,MV,1619220821,67,2.6708,72.8944,82.85,10.89
438,novyy urengoy,75,RU,1619220822,71,45.0072,38.9819,55.4,6.71
439,yenagoa,67,NG,1619220591,91,4.9247,6.2642,78.24,4.29
440,svetlogorsk,63,BY,1619220272,81,52.6333,29.7333,36.01,9.1
441,esso,98,RU,1619220822,93,55.9333,158.7,35.91,0.63
442,pekan,20,MY,1619220822,94,3.4836,103.3996,73.4,6.29
443,sao filipe,85,IN,1619220765,28,20.5113,76.2129,77.85,6.15
444,kaeo,10,NZ,1619220823,68,-35.1,173.7833,70.0,8.99
445,kyra,95,RU,1619220823,46,49.5776,111.9753,38.52,2.98
446,falam,84,MM,1619220823,46,22.9167,93.6833,61.2,4.12
447,burlington,1,US,1619220652,25,39.8835,-74.6413,62.6,16.11
448,ponta delgada,40,PT,1619220767,82,38.7333,-28.2667,57.2,27.63
449,altar,0,MX,1619220824,18,30.7,-111.8167,82.99,4.0
450,sal rei,40,JO,1619220824,35,32.5694,35.9119,73.4,4.32
451,georgetown,40,MY,1619220825,89,5.4112,100.3354,78.8,3.44
452,bulawayo,24,ZW,1619220825,50,-20.15,28.5833,57.2,7.2
453,gamba,99,GA,1619220825,89,-2.65,10.0,77.22,2.15
454,nishihara,75,JP,1619220826,83,26.1842,127.7558,68.0,19.57
455,skjervoy,95,NO,1619220826,56,70.0311,20.9714,34.9,9.89
456,rochelle,0,FR,1619220826,44,46.25,-1.0,59.0,11.5
457,tura,53,IN,1619220159,36,25.5198,90.2201,71.8,4.88
458,verkhnyaya inta,98,RU,1619220827,92,60.9844,40.2072,44.51,8.41
459,port keats,18,CD,1619220798,80,-7.0349,29.7638,71.46,4.81
460,carauari,48,BR,1619220827,94,-4.8828,-66.8958,75.16,2.13
461,acapulco,90,MX,1619220771,65,16.8634,-99.8901,84.2,14.97
462,lagos,40,NG,1619220817,84,6.5833,3.75,84.2,6.91
463,necochea,100,AR,1619220828,96,-38.5473,-58.7368,60.01,4.52
464,edd,1,ER,1619220828,57,13.9297,41.6925,85.93,12.5
465,aparecida do taboado,0,BR,1619220828,73,-22.8469,-45.2297,68.0,3.44
466,zyryanka,100,RU,1619220828,90,65.75,150.85,13.64,22.62
467,seymchan,100,RU,1619220829,79,62.8833,152.4333,17.19,16.51
468,asasa,96,ET,1619220829,87,7.1,39.2,55.65,3.49
469,tazovskiy,100,RU,1619220830,99,67.4667,78.7,33.55,12.82
470,fort dodge,61,NL,1619220830,82,52.6517,6.3861,41.0,5.1
471,ustye,95,RU,1619220830,95,59.6304,39.736,43.88,4.9
472,vagur,97,FO,1619220831,88,61.4732,-6.8119,45.79,0.58
473,leh,100,IN,1619220831,62,34.1667,77.5833,21.52,6.51
474,bengkulu,94,ID,1619220831,88,-3.8004,102.2655,74.08,3.58
475,bellinzona,40,CH,1619220832,76,46.1928,9.017,51.8,2.3
476,antofagasta,20,CL,1619220832,72,-23.65,-70.4,62.6,5.75
477,benjamin aceval,40,US,1619220832,20,40.0983,-111.7313,64.4,13.8
478,salalah,40,OM,1619220243,74,17.0151,54.0924,82.4,3.44
479,pingliang,100,CN,1619220833,96,35.5392,106.6861,48.51,5.28
480,goderich,44,CA,1619220387,43,43.7501,-81.7165,53.6,9.22
481,oranjestad,20,AW,1619220833,74,12.524,-70.027,82.4,21.85
482,dharmadam,6,IN,1619220834,85,11.7833,75.4333,77.74,3.98
483,miri,20,MY,1619220134,89,4.4148,114.0089,78.8,3.44
484,alekseyevsk,62,RU,1619220834,84,57.8406,108.3492,33.8,1.86
485,husavik,0,IS,1619220834,81,66.0449,-17.3389,42.8,1.14
486,barra patuca,40,BR,1619220835,68,-11.0894,-43.1417,78.28,3.31
487,ouargaye,97,BF,1619220835,30,11.5033,0.0572,94.17,9.51
488,phan rang,86,TH,1619220835,83,19.5539,99.7405,77.0,2.17
489,samarai,95,PG,1619220569,74,-10.6167,150.6667,83.95,10.69
490,rocha,17,UY,1619220836,94,-34.4833,-54.3333,62.91,10.18
491,george,60,ZA,1619220836,100,-33.963,22.4617,57.2,3.44
492,arlit,44,NE,1619220836,7,18.7369,7.3853,84.22,8.84
493,chaumont,19,FR,1619220837,72,48.1167,5.1333,39.0,6.87
494,zhigansk,70,RU,1619220837,80,66.7697,123.3711,17.89,4.25
495,evensk,100,RU,1619220838,99,61.95,159.2333,32.07,12.77
496,kamenka,17,RU,1619220838,95,51.3223,42.7678,42.01,7.58
497,sabha,40,LY,1619220838,15,27.0377,14.4283,81.34,8.34
498,yarmouth,1,US,1619220270,54,41.7057,-70.2286,52.0,12.66
499,buraydah,0,SA,1619220327,20,26.326,43.975,77.0,5.75
500,quimper,0,FR,1619220839,38,48.0,-4.1,59.0,9.22
501,jibuti,20,DJ,1619220839,78,11.5,42.5,82.4,4.61
502,waddan,18,LY,1619220839,46,29.1614,16.139,70.27,18.72
503,ponnani,20,IN,1619220840,83,10.767,75.9252,78.8,2.3
504,bani walid,14,DO,1619220594,76,18.2833,-70.3333,81.0,1.99
505,altenholz,40,DE,1619220840,100,54.4,10.1333,39.99,8.05
506,flin flon,0,FR,1619220841,53,48.4982,6.6557,44.6,5.75
507,kourou,75,GF,1619220841,94,5.1552,-52.6478,78.01,2.3
508,pontianak,40,ID,1619220841,94,-0.0333,109.3333,75.2,3.98
509,isla vista,26,PH,1619220842,66,15.8939,120.3036,82.63,8.01
510,maues,100,BR,1619220842,97,-3.3836,-57.7186,74.88,2.13
511,languyan,100,PH,1619220843,74,5.2618,120.0807,81.9,1.39
512,terrace bay,20,CA,1619220609,21,54.5163,-128.6035,60.8,4.61
513,virginia beach,90,US,1619220829,25,37.5481,-77.4467,60.8,14.97
514,beyneu,9,KZ,1619220843,84,45.3167,55.2,49.37,11.88
515,orsha,97,BY,1619220844,81,54.5153,30.4053,35.33,5.61
516,varhaug,50,NO,1619220844,81,58.6147,5.6457,39.0,21.27
517,innisfail,99,AU,1619220350,97,-17.5333,146.0333,66.99,5.99
518,peleduy,100,RU,1619220844,93,59.6289,112.7406,33.28,7.14
519,mackenzie,20,CA,1619220845,39,55.2999,-123.1698,44.6,5.75
520,santa rosa,9,PH,1619220694,60,17.486,120.4348,81.39,3.18
521,wanning,18,CN,1619220845,80,18.8003,110.3967,80.17,10.27
522,caluquembe,80,AO,1619220845,69,-13.7833,14.6833,60.37,2.53
523,mission viejo,1,US,1619220609,58,26.2159,-98.3253,89.01,24.16
524,ajdabiya,57,LY,1619220846,16,30.7554,20.2263,77.25,17.16
525,fussen,3,DE,1619220846,77,47.8739,12.1695,39.99,3.62
526,darhan,100,MN,1619220164,77,49.4867,105.9228,33.51,5.44
527,suoyarvi,40,RU,1619220846,90,62.0833,32.35,32.07,4.72
528,uribia,11,CO,1619220847,61,11.7139,-72.266,83.89,19.89
529,vanavara,100,RU,1619220847,86,60.34,102.2797,32.83,1.52
530,sarh,20,TD,1619220848,69,9.1429,18.3923,78.8,6.91
531,cochrane,90,CA,1619220848,47,51.1834,-114.4687,33.8,5.75
532,ryotsu,0,JP,1619220848,82,38.0833,138.4333,53.6,3.44
533,mustvee,90,EE,1619220848,87,58.8486,26.9397,35.6,11.5
534,hami,67,CN,1619220849,27,42.8,93.45,45.1,11.01
535,thaton,99,MM,1619220849,78,16.9206,97.3714,81.39,1.77
536,porto torres,75,PT,1619220849,94,41.1496,-8.611,59.0,10.36
537,itarsi,58,IN,1619220850,19,22.6167,77.75,81.09,3.74
538,wellington,9,NZ,1619220787,55,-41.2866,174.7756,66.99,9.22
539,mafinga,42,TZ,1619220850,79,-7.25,35.0667,63.46,3.83
540,hongjiang,100,CN,1619220851,94,27.11,109.9956,69.08,1.95
541,teguise,20,ES,1619220851,68,29.0605,-13.564,69.8,8.05
